Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,4.84,5.08,3.77,7.21,7.01,0.67,2.52,5.53,1.8,4.38,2.57,3.63
1902,3.65,8.85,3.09,2.43,2.23,3.68,5.85,2.17,2.31,1.23,1.52,2.94
1903,3,1.18,5.49,1.95,1.75,5.11,7.54,5.79,1.28,2.27,1.74,4.22
1904,1.92,3.85,6.85,3.95,3.75,0.77,7.73,1.84,1.28,1.68,5.31,1.92
1905,1.92,4.04,8.89,1.12,0.92,2.53,8.93,0.71,2.22,1.62,2.43,5.06
1906,5.07,0.83,5.76,1.7,1.5,8.86,4.9,3.97,6.44,3.91,2.69,2.54
1907,0.85,5.39,8.21,3.26,3.06,4.99,6.84,0.6,2.41,2.53,1.15,4.77
1908,10.45,4,2.6,1.76,1.56,2.01,3.27,3.65,1.12,4.63,8.47,2.35
1909,0.58,1.8,2.79,4.01,3.81,2.85,2.99,3.37,8.12,1.33,0.45,4.64
1910,2.87,2.4,7.36,4.26,4.06,4.08,2.29,1.92,2.57,2.53,3.64,6.71
1911,7.68,5.01,5.57,5.54,5.34,1.2,3.44,0.77,1.3,2.76,3.07,4.04
1912,6.48,1.44,5.6,2.87,2.67,3.33,5.02,0.09,2.68,0.99,1.26,5.1
1910,7.41,2.86,5.5,5.9,5.7,2.57,3.63,5.22,2.85,4.26,0.95,4.28
1910,2.72,0.99,6.89,3.7,3.5,2.66,4.01,10.05,2.82,2.98,5.48,5.24
1915,5.27,2.31,3.54,2.99,2.79,1.72,6.5,3.6,1.53,2.28,1.85,2.51
1916,2.83,4.35,4.56,2.7,2.5,2.42,3.72,0.99,1.57,1.1,2.91,2.23
1917,5.66,7.28,5.34,4.47,4.27,1.74,5.33,3.33,2.61,1.71,2.18,3.03
1918,6.71,5.07,1.25,5.71,5.51,2.85,4.85,0.16,1.61,3.9,0.77,4.05
1919,4.68,4.88,2.62,1.57,1.37,1.4,3.74,0.99,5.05,2.91,3.98,11.1
1920,5.76,4.41,6.4,3.92,3.72,2.32,5.77,1.56,2.94,3.15,0.25,5.27
1921,1,4.91,4.94,2.56,2.36,11.7,4.49,0.89,0.73,3.63,1.44,2.58
1922,3.05,2.23,4.73,2.91,2.71,0.96,2.98,0.56,8.52,3.5,1.73,5.19
1923,1.52,1.21,2.54,4.84,4.64,5.29,2.43,3.73,5.91,1.12,6.35,6.57
1924,4.72,1.39,4,5.27,5.07,7.02,4.57,1.02,4.15,3.37,0.6,4.42
1925,8.1,2.96,8.46,4.65,4.45,6.67,3.65,0.61,2.9,2.95,0.45,1.59
1926,2.8,1.74,2.26,3.51,3.31,6.83,4.03,2.85,2.93,4.1,0.96,4.69
1927,4.06,2.39,9.07,8.57,8.37,4.11,2.23,0.43,6.68,9.05,7.49,3.41
1928,3.91,2.12,3.65,3.08,2.88,6.75,3.4,3.25,6.73,3.45,2.2,3.12
1929,2.39,4.9,6.35,1.05,0.85,2.51,4.96,2.82,2.73,3.63,5.28,1.89
1930,5.47,4.09,9.72,4.29,4.09,2.3,6.55,2.38,3.71,1.45,1.4,6.42
1931,4.52,4.56,8.09,4.21,4.01,5.29,2.53,0.54,9.48,1.93,2.47,4.45
1932,1.01,3.64,2.1,6.29,6.09,4.8,4.76,1.74,2.47,0.73,0.85,5.49
1933,2.28,5.08,3.74,1.85,1.65,2.1,2.1,2.62,0.9,7.69,4.12,1.23
1934,2.27,2.26,4.28,2.05,1.85,3.88,4.08,1.62,8.18,5.34,4.24,10.66
1935,4.59,4.46,10.06,3.53,3.33,2.67,1.99,0.75,1.74,4.45,4.08,2.82
1936,11.74,2.84,3.66,2.79,2.59,1.95,4.02,0.22,4.5,7.52,2.23,1.51
1937,2.12,4.01,6.88,6.36,6.16,3.25,6.99,3.95,0.39,4.75,4.39,3.46
1938,1.69,3.88,5.54,5.1,4.93,3.22,1.62,2.98,4.57,2.81,2.79,2.22
1939,2.41,5.25,3.89,1.82,1.62,0.71,2.87,0.64,3.82,2.56,3.35,6.46
1940,3.01,6,5.29,1.22,1.02,7.1,3.8,3.42,1.58,5.64,1.48,4.56
1941,1.86,6.41,6.54,9.84,9.64,2.91,5.77,2.76,2.67,1.93,1.07,6.53
1942,5.89,2.81,8.39,1.51,1.31,2.39,4.25,3.62,1.75,2.72,1.05,2.7
1943,2.91,3.83,7.36,3.41,3.21,6.36,4.9,1.43,2.17,2.21,2.37,1.04
1944,0.31,1.72,8.8,1.31,1.11,2.92,8.73,0.96,0.47,4.08,3.12,4.85
1945,2.75,2.1,1.97,5.23,5.03,10.15,2.89,1.15,2.05,5.01,1.66,3.25
1946,5.08,2.02,5.18,4.25,4.05,5.21,6.33,2.5,2.26,1.17,2.66,2.1
1947,4.95,9.07,5.23,1.88,1.68,6.2,3.51,0.05,1.75,1.83,1.08,2.81
1948,2.94,5.26,8.03,3.22,3.02,0.53,2.57,0.03,1.21,2,3.31,2.57
1949,2.71,0.84,2.11,0.77,0.57,1.21,7.52,0.28,3.52,2.82,2.41,4.02
1950,1.97,3.7,4.22,2.29,2.09,2.21,3.17,0.92,8.19,3.75,1.87,6.19
1951,1.71,2.08,8.83,5.19,4.99,0.84,2.91,5.08,1.43,1.51,1.21,3.57
1952,1.43,7.34,6.21,4.23,4.03,2.1,1.27,3.5,6.1,1.38,2,7.23
1953,2.83,7.7,2.12,5.6,5.4,2.87,5.55,2.5,1.71,2.79,8.64,4.04
1954,1.4,4.48,5.88,3.63,3.43,8.37,5.26,3.23,2.1,2.5,4.71,4.17
